probIn scale
0.3907983 0.05277507
0.4456773 0.05393107
0.4246902 0.04912318
0.3207207 0.0466322
0.3064902 0.04402414
0.2674853 0.04541211
0.2689832 0.0453399
0.3252816 0.04862948
0.319015 0.05071881
0.3122304 0.05260288
0.3461926 0.0504487
0.3997514 0.05606093
0.4070677 0.04783564
0.391059 0.04886017
0.4251467 0.04992822
0.4161705 0.04972417
0.3913676 0.0503604
0.4118019 0.05244511
0.4513015 0.05289363
0.4999471 0.05767749
0.459901 0.05541854
0.4946493 0.05600187
0.5188932 0.05958012
0.5183459 0.05696239
0.4514264 0.05322422
0.4835346 0.05603857
0.4199517 0.0572708
0.3888393 0.06164591
0.3827104 0.06109492
0.4002374 0.06401252
0.4194987 0.06502905
0.3681831 0.06274565
0.2944106 0.06170308
0.2635105 0.05658747
0.2879808 0.05022745
0.364869 0.049914
0.3446124 0.04984701
0.4145637 0.04883023
0.4431172 0.05047648
0.4807655 0.05000186
0.4083395 0.05123074
0.3813617 0.05861083
0.3437646 0.05677309
0.2452726 0.05725083
0.2770347 0.05889278
0.2603567 0.05772028
0.2022263 0.05815842
0.2566316 0.05993016
0.2506479 0.05483549
0.2694617 0.05222033
0.3613025 0.05515496
0.4200877 0.05304625
0.4560472 0.05405639
0.3306317 0.05012452
0.3582028 0.0462609
0.3132892 0.04691575
0.2957956 0.04540159
0.3594889 0.04263225
0.410214 0.04200307
0.4395254 0.03969598
0.4448535 0.03770918
0.3944753 0.03415589
0.3690585 0.03484835
0.3514605 0.03436345
0.2821446 0.03714177
0.2917341 0.03651663
0.3095503 0.03565153
0.409794 0.0381035
0.4100454 0.03483171
0.4361776 0.03438361
0.448039 0.0339677
0.5323896 0.02979303
0.6318325 0.03107619
0.5095307 0.02816612
0.4676464 0.02741754
0.5368564 0.02391586
0.5544158 0.02281349
0.5628009 0.02156702
0.5536311 0.02345859
0.5270482 0.02383919
0.4953175 0.02561405
0.478271 0.0253423
0.4832849 0.02518504
0.5288632 0.02595476
0.5031448 0.02441171
0.4295448 0.0263251
0.50238 0.02824557
0.46078 0.02761805
0.3899409 0.0315747
0.3669128 0.03145123
0.3779561 0.02697211
0.3701087 0.02923801
0.4758923 0.02950631
0.4504849 0.03488873
0.4690003 0.03352149
0.4967985 0.03396802
0.5176372 0.0349612
0.5251334 0.03376038
0.5763863 0.03328555
0.5697653 0.03456063
0.5596679 0.03602191
0.597961 0.03399891
0.5425596 0.03385209
0.5585717 0.03728234
0.5171558 0.03769069
0.5241341 0.03828944
0.501855 0.03462385
0.5147442 0.0355445
0.510567 0.03615651
0.4826239 0.035864
0.4749673 0.03401323
0.5428169 0.03182647
0.5513109 0.03175584
0.5289375 0.03286708
0.5209501 0.03290883
0.5675604 0.03067021
0.5519655 0.03114679
0.6205083 0.0333261
0.6497241 0.03157702
0.7126228 0.02991742
0.7171342 0.03207099
0.6787065 0.02791549
0.5842134 0.0255228
0.6147322 0.02612767
0.5266194 0.02710879
0.536205 0.02680385
0.5433417 0.02714764
0.5377049 0.02492219
0.5143637 0.02418375
0.4934365 0.02417263
0.5242416 0.02518499
0.5084483 0.02753558
0.5054041 0.02788666
0.5381948 0.02611264
0.547089 0.0289545
0.4630139 0.02714266
0.4767094 0.02685027
0.5474393 0.0265201
0.5984379 0.02671433
0.5035881 0.03040425
0.5022809 0.03019375
0.5666028 0.02994946
0.5954626 0.02848341
0.5352525 0.02777143
0.5415432 0.03028002
0.5957264 0.0293159
0.6045944 0.02995798
0.6215807 0.02951683
0.7018826 0.03061044
0.6357036 0.03246951
0.606897 0.03258548
0.6344218 0.03346926
0.702746 0.03495604
0.6003847 0.03443415
0.5860795 0.03528111
0.5787692 0.03404818
0.5442114 0.03230983
0.5451101 0.03234634
0.5624481 0.03300455
0.5241676 0.03410427
0.454268 0.03300674
0.4491361 0.03273232
0.4617494 0.03977324
0.5340786 0.04312762
0.4857971 0.04062622
0.3623833 0.04466609
0.4469812 0.04293657
0.5048197 0.0389853
0.5077568 0.04162827
0.563401 0.04266817
0.5372919 0.04702374
0.533825 0.0467823
0.5339659 0.04354227
0.6085623 0.04275559
0.5974153 0.0413344
0.6438096 0.04231943
0.5723313 0.04322622
0.4996089 0.04056984
0.5019974 0.03893665
0.4875847 0.03577032
0.4784107 0.03573764
0.4738608 0.03754889
0.4822338 0.03667212
0.5153915 0.03786604
0.5191294 0.03726964
0.548713 0.03667479
0.5094613 0.03454266
0.4978193 0.03505844
0.5570641 0.03595358
0.5384856 0.03583672
0.5686199 0.03291943
0.5451952 0.03370488
0.5912745 0.03258115
0.5477958 0.03363621
0.4773164 0.03717043
0.4617759 0.03807924
0.4781716 0.03802146
0.4778824 0.04204868
0.43821 0.04651136
0.4492396 0.04504557
0.526166 0.04427634
0.5638101 0.04651129
0.5021826 0.047806
0.4712695 0.05093115
0.4778858 0.04726321
0.511275 0.04472604
0.5018183 0.04757072
0.4885408 0.04488273
0.496297 0.04353133
0.5196402 0.04721406
0.4839893 0.04567452
0.5525015 0.04694078
0.5301923 0.04298682
0.5182585 0.04405003
0.4559359 0.04666403
0.4213134 0.04613592
0.4445423 0.04468413
0.4505076 0.04445751
0.5084596 0.04518451
0.5389225 0.04899534
0.5304961 0.0475214
0.516613 0.04502
0.4414569 0.04308863
0.380867 0.04515837
0.3252906 0.03992772
0.375817 0.03855859
0.4393815 0.03897988
0.4118107 0.03813216
0.3901443 0.03974238
0.4049188 0.04070041
0.4491141 0.04106273
0.4711806 0.04464995
0.5128619 0.03856202
0.5329885 0.03496809
0.4911853 0.03528852
0.5054501 0.03499896
0.5092693 0.03661877
0.5270371 0.03544852
0.4144207 0.03815101
0.4407622 0.04257256
0.453194 0.04728864
0.4632659 0.05149089
0.5364651 0.05007514
0.4789927 0.05199782
0.4531201 0.05059749
0.4648509 0.04597219
0.4020622 0.04755573
0.5398762 0.04829305
0.5388009 0.04750755
0.5973678 0.05197735
0.5118081 0.05251404
0.5080666 0.0550884
0.5593578 0.05181085
0.5512353 0.05135169
0.5425896 0.05398305
0.4296702 0.05470081
0.5523354 0.05213523
0.4958468 0.04783605
0.5642727 0.05013048
0.5229009 0.04988827
0.5109915 0.0523999
0.4851189 0.049335
0.4895553 0.04690375
0.4920252 0.04133845
0.4750881 0.03986151
0.4593591 0.04027403
0.4460463 0.03897312
0.5041908 0.03808682
0.4300258 0.04086888
0.4308197 0.04103104
0.4242546 0.04669807
0.486007 0.05095128
0.5098753 0.05322564
0.5052501 0.05406727
0.5468192 0.05139561
0.5707897 0.04745097
0.547274 0.04545455
0.5383022 0.04531273
0.5810841 0.04099561
0.6131533 0.04326413
0.5565807 0.04195635
0.575392 0.0423611
0.6633489 0.04265626
0.5633157 0.04137569
0.5802858 0.04540331
0.6501548 0.048069
0.6502489 0.04406058
0.6467768 0.04795303
0.5932557 0.04558224
0.5240044 0.04357271
0.5423488 0.0413527
0.5239633 0.0419243
0.5816801 0.04240743
0.5669836 0.03914315
0.5545407 0.03957295
0.5586464 0.04210476
0.5880115 0.04457675
0.5365178 0.0461359
0.5744152 0.04681755
0.5059588 0.04985564
0.5341253 0.04793234
0.5262245 0.04652801
0.4609554 0.04444907
0.4512718 0.04427236
0.4208464 0.04662104
0.4650846 0.04577995
0.5368503 0.04293524
0.5564347 0.0404263
0.5775639 0.04052274
0.4954232 0.04537656
0.5003487 0.0457604
0.4537785 0.04463139
0.4882075 0.04170786
0.5367725 0.04188737
0.5734322 0.04249657
0.5892826 0.04565465
0.5673637 0.04153569
0.4561884 0.03871045
0.4982485 0.03889915
0.5984265 0.03943722
0.6518006 0.03821831
0.6057381 0.03822121
0.5407893 0.03635359
0.4050571 0.03580863
0.4525459 0.03701196
0.3798559 0.04179311
0.4170732 0.04130681
0.4625983 0.03890576
0.4736197 0.0363648
0.4883152 0.03586207
0.5340487 0.03370564
0.5047274 0.03680968
0.4942284 0.03767565
0.4999475 0.03846008
0.5274136 0.03846881
0.6117802 0.04185215
0.6338637 0.04544441
0.5727326 0.04486933
0.5230729 0.04572858
0.5141547 0.04603952
0.490147 0.04577649
0.5180578 0.04383935
0.3991348 0.04503837
0.4340659 0.04690279
0.4811299 0.0528323
0.5046545 0.05299787
0.5648624 0.05469576
0.6020572 0.053296
0.5688676 0.05225268
0.5065927 0.05255153
0.5008339 0.05267728
0.4509947 0.04984026
0.3967496 0.05749028
