GAH1_2022 GAH1_2023 IAH1_2022 IAH1_2023 IAH2_2022 IAH2_2023 ILH1_2022 ILH1_2023 INH1_2022 INH1_2023 MNH1_2022 MNH1_2023 MOH1_2023 MOH2_2022 MOH2_2023
-4.271361 -1.890271 2.119489 3.545042 0.4900958 0.7416558 2.292536 1.60284 2.957567 3.604772 2.682837 2.028501 -0.7006291 -2.81803 0.2777792
-3.998795 -1.845276 2.206355 3.500076 0.7521532 1.079177 2.357012 1.937062 3.014695 3.921127 3.096201 2.414661 -0.457191 -2.364813 0.5265639
-4.466689 -2.109584 1.914311 3.109263 0.1975586 1.048718 2.193912 1.890065 2.612104 3.623748 2.458053 1.990044 -0.9012208 -2.716793 0.227832
-4.240497 -2.164672 2.106284 3.322371 0.5824764 0.8694377 2.035653 1.756395 2.755857 3.54802 2.530472 2.052723 -0.6708541 -2.648927 0.4610674
-4.16966 -2.073583 2.096679 3.300927 0.5173318 1.00416 2.183186 1.620152 2.71772 3.758308 2.586543 1.962164 -0.6441206 -2.477603 0.4491259
-4.225221 -2.040297 2.036954 3.299766 0.2312121 0.8611092 2.136098 1.46326 2.593686 3.460271 2.587448 2.034457 -0.8708477 -2.713692 0.3409277
-4.414324 -2.066161 1.941188 3.399427 0.8944651 0.9389611 2.009837 1.872795 2.942614 3.732404 2.676974 2.222437 -0.7021212 -2.63796 0.4619885
-3.880507 -1.750422 2.29383 3.521559 0.7741972 1.181887 2.236665 1.773377 2.990145 3.983264 2.871422 2.304904 -0.6335485 -2.277449 0.7158601
-4.172958 -2.00538 2.351031 3.373062 0.7348715 1.173446 2.367494 1.849719 2.998019 3.890639 3.062871 2.510408 -0.6262659 -2.527405 0.6707418
-4.1679 -2.093803 2.308329 3.381552 0.6171238 0.942214 2.425862 1.971599 3.057002 3.862591 2.818512 2.028052 -0.6646535 -2.7244 0.7976839
-4.327648 -1.926666 2.244898 3.284435 0.4014744 0.7228811 2.180526 1.507947 2.47876 3.749234 2.395512 2.200163 -0.3300791 -2.686168 0.6079631
-3.945007 -2.174791 2.216956 3.192802 0.4412411 0.9285784 2.369857 1.657342 2.568612 3.473488 2.843595 1.879467 -0.5753576 -2.747044 0.345471
-4.199888 -2.118344 2.269258 3.252734 0.7391579 0.9234727 2.180257 1.643976 2.915009 3.438493 2.468961 2.286304 -0.7176492 -2.655383 0.3588465
-4.150868 -1.871401 2.172588 3.492876 0.629287 0.9551944 2.506458 2.056033 2.734625 3.598555 2.87791 2.203454 -0.5736388 -2.669689 0.5854438
-4.327757 -2.107102 2.329992 3.485781 0.4400892 1.021066 2.633632 2.03349 2.965851 3.763243 2.906144 2.171667 -0.5105473 -2.795883 0.345019
-4.342306 -1.912183 2.075735 3.3836 0.5767828 0.8372845 2.222616 1.802729 2.63639 3.666901 2.51832 2.20097 -0.4979272 -2.54934 0.4197795
-4.021293 -1.893052 2.007736 3.356948 0.5273013 0.9416978 2.618002 1.980027 2.76195 3.435154 2.718988 2.259547 -0.6221223 -2.703075 0.359334
-4.3689 -2.25751 2.060584 2.988083 0.3767677 0.6033477 1.879661 1.316938 2.426317 3.357806 2.478005 1.92968 -0.9197846 -2.801351 0.07455525
-4.488829 -2.392501 1.895451 2.977576 -0.0139813 0.498031 1.915044 1.55532 2.236498 3.267943 2.404177 1.852387 -0.9712162 -2.976851 0.1335586
-4.776934 -2.408835 1.643353 2.933479 0.1606231 0.4574961 1.677719 1.143089 2.335892 3.073359 2.490313 1.611628 -1.205513 -3.02089 0.05106376
-4.451246 -2.643222 1.634216 2.937435 0.1569932 0.5427946 1.900884 1.373563 2.487906 3.292361 2.185082 1.500573 -1.222615 -2.887592 -0.06937435
-4.336139 -2.285557 1.738773 2.948221 0.1186934 0.6826722 1.964679 1.607441 2.353519 3.132725 2.589852 1.836974 -0.9343621 -2.951878 -0.006827304
-4.206903 -2.240583 2.004421 3.213423 0.4571374 0.9821697 2.267884 1.726837 2.688877 3.700774 2.799625 2.15006 -0.7492509 -2.882808 0.3914
-4.504126 -2.065675 2.066976 3.08348 0.533574 0.5575374 2.101875 1.596274 2.696614 3.690313 2.843092 1.996262 -0.7287768 -2.630335 0.177377
-3.952054 -1.785541 2.243996 3.31834 0.5737219 0.9593534 2.377381 1.971394 2.735359 3.795357 2.617569 2.334915 -0.4845492 -2.769564 0.4534486
-3.955675 -1.683237 2.221115 3.758777 0.7081705 1.176642 2.715158 2.119684 2.983605 3.923588 3.094138 2.349244 -0.4740317 -2.397816 0.7680467
-3.950797 -1.735422 2.412217 3.727859 0.860307 1.15997 2.59988 2.104099 3.089162 4.12072 2.990269 2.570149 -0.2836785 -2.410502 0.8214342
-3.772061 -1.782651 2.205173 3.547459 0.4855809 1.10703 2.545987 1.743789 2.748381 3.876019 2.859097 2.228139 -0.5752281 -2.591647 0.7321456
-3.916757 -1.847898 2.226262 3.525918 0.5889627 0.9336381 2.170741 2.084509 3.103651 3.80915 2.798222 2.281177 -0.7461091 -2.660975 0.5342048
-3.973465 -2.002798 2.19031 3.406845 0.6459713 1.100306 2.480274 1.724811 2.556926 3.787358 2.883309 2.288469 -0.7326831 -2.605171 0.4233968
-3.956285 -1.908954 2.226364 3.493369 0.4665975 0.6749198 2.239665 1.812148 2.671134 3.742798 2.717372 2.172054 -0.5459615 -2.338247 0.5490587
-4.249282 -1.883242 1.985817 3.504413 0.3809477 1.133338 1.893626 1.771233 3.042517 3.742124 2.667448 2.2042 -0.5003153 -2.607159 0.5673462
