probIn scale
0.3727361 0.06556292
0.3517476 0.06295516
0.3382636 0.05902775
0.3313012 0.06268327
0.3028057 0.0602506
0.3045064 0.05912293
0.2737432 0.05367926
0.2519761 0.05669013
0.2139441 0.05723856
0.2462792 0.05580841
0.2052173 0.05513196
0.2185651 0.05408559
0.2735126 0.05024675
0.3469742 0.05224478
0.4456544 0.05511211
0.4154188 0.05509482
0.4367811 0.05690126
0.4402443 0.06241968
0.3938534 0.06180692
0.3474874 0.06350639
0.3629327 0.0593954
0.3335836 0.05912119
0.2705821 0.06031552
0.2811602 0.06347087
0.2434591 0.06444145
0.2725797 0.0661268
0.2734108 0.06590158
0.3759032 0.06540366
0.321379 0.06907233
0.4118467 0.06737704
0.442802 0.06395181
0.3469192 0.06358552
0.311895 0.06010991
0.3740464 0.05964881
0.3445595 0.0645728
0.4338117 0.06312133
0.4925454 0.06000219
0.5166045 0.05758548
0.4644967 0.0609916
0.4632717 0.05523858
0.445678 0.06017864
0.4384684 0.06095905
0.3819695 0.06382583
0.3895525 0.06692744
0.3926154 0.05974237
0.4000129 0.06353827
0.4311482 0.06698071
0.454017 0.06550227
0.463777 0.06202208
0.4784472 0.06260644
0.4951409 0.05830001
0.4854136 0.05795884
0.4602894 0.06054097
0.4405177 0.06133566
0.4341463 0.06675333
0.3774464 0.07435179
0.3710051 0.07909026
0.3447636 0.07673231
0.3136911 0.0725961
0.2591911 0.07216915
0.2951568 0.06492122
0.3230858 0.06315485
0.3081991 0.06555556
0.3241505 0.06875121
0.3636492 0.06490897
0.4667402 0.06134424
0.4549985 0.05955206
0.4077823 0.06127562
0.3852573 0.05882713
0.3913012 0.0599555
0.4327305 0.05842898
0.4628211 0.05896847
0.4292591 0.05583986
0.3580893 0.05199575
0.4042678 0.05354826
0.390906 0.05278373
0.3803998 0.0581673
0.3880598 0.05764754
0.4363372 0.04959939
0.4523698 0.04786392
0.4219635 0.04525413
0.4539661 0.04162832
0.5106669 0.03908441
0.4994687 0.03835578
0.4934071 0.04058178
0.5493477 0.04132902
0.5153428 0.0423671
0.515905 0.04242779
0.5988067 0.04346634
0.6298946 0.04423881
0.6011886 0.04138692
0.6535464 0.03990951
0.586834 0.03737544
0.7101381 0.03923659
0.6192621 0.04311572
0.6570381 0.04011586
0.7374952 0.04254292
0.7097717 0.0433777
0.6639546 0.04250443
0.6905384 0.04403417
0.6016487 0.04563037
0.5384237 0.04381236
0.4964604 0.04659383
0.5076232 0.04640153
0.5181839 0.04465877
0.478717 0.04750166
0.4875658 0.04575741
0.4241157 0.04498896
0.3861829 0.0448641
0.4115557 0.04178203
0.497713 0.04117613
0.4780619 0.04042358
0.5114032 0.04416147
0.3875097 0.04500836
0.3666261 0.04551765
0.3658748 0.0429116
0.4077946 0.04343812
0.4117397 0.04835514
0.4508156 0.04807792
0.5376259 0.04564522
0.56275 0.04423617
0.5764019 0.04569323
0.4901237 0.04573904
0.4669248 0.04559619
0.4716552 0.04383847
0.5238235 0.04249855
0.4901216 0.04280821
0.5413659 0.04137702
0.5645022 0.03950111
0.5602101 0.03925334
0.4188071 0.03553061
0.4966452 0.03645889
0.4684191 0.03827121
0.4492886 0.03857506
0.436937 0.03870378
0.344631 0.03494592
0.4170621 0.03410918
0.4328933 0.0339454
0.45429 0.03438539
0.4465245 0.03682974
0.5654718 0.03701744
0.5466949 0.04201757
0.5503743 0.04485738
0.5129693 0.04478964
0.4830355 0.04957972
0.4654847 0.0531912
0.4508263 0.05359088
0.4683496 0.05378935
0.4552455 0.05031812
0.4873852 0.05111181
0.5089198 0.04761232
0.5268076 0.04590229
0.5194712 0.04655625
0.473727 0.05020607
0.5167374 0.04368245
0.4910202 0.04660907
0.5547124 0.04355721
0.5359017 0.04217285
0.5647669 0.04116036
0.5023372 0.03892271
0.5206588 0.03811133
0.471704 0.03625647
0.5518615 0.03611025
0.5775727 0.0394744
0.6199156 0.04070492
0.5908678 0.03909536
0.6230559 0.03670462
0.6386363 0.03452438
0.6001811 0.03376094
0.634403 0.03482217
0.6187795 0.03512155
0.5424643 0.03541545
0.5737602 0.03467095
0.5973861 0.03369236
0.6437715 0.03370668
0.6091393 0.03545528
0.6460035 0.03279531
0.6188169 0.03151283
0.5080801 0.03380798
0.5549388 0.03152841
0.5823698 0.03262237
0.5622935 0.03323449
0.4955335 0.03569789
0.547069 0.03231058
0.5408999 0.03315247
0.5183958 0.0340923
0.4721152 0.03331359
0.3569369 0.0308793
0.3861518 0.03159489
0.3945025 0.0310252
0.5195255 0.03172417
0.5258275 0.03206688
0.476342 0.03330264
0.4463395 0.03254027
0.4192659 0.03140594
0.3728941 0.03301099
0.3689644 0.03586683
0.3454248 0.03492977
0.4566204 0.03799596
0.4725797 0.03376973
0.438895 0.03207642
0.4860941 0.0310421
0.5435547 0.02960063
0.5765799 0.02914871
0.6181038 0.02925778
0.661474 0.0280092
0.6924714 0.02834521
0.6939542 0.02885733
0.6459549 0.02656628
0.7057019 0.02483212
0.5835199 0.02508671
0.605919 0.02462969
0.5757775 0.02161302
0.5802562 0.02243236
0.5484199 0.02380048
0.6104771 0.02215673
0.6380612 0.02343509
0.6523482 0.02347727
0.6663886 0.02474056
0.7201662 0.02476878
0.6830214 0.02413549
0.7082797 0.02443236
0.6615397 0.02364485
0.5864013 0.02361688
0.5688397 0.02292346
0.5141049 0.02428472
0.5506121 0.02323126
0.5920689 0.02420087
0.6766252 0.02161401
0.58632 0.02311146
0.5698874 0.02617652
0.5799196 0.02511659
0.4970832 0.02440307
0.4958623 0.02527992
0.5623866 0.02515605
0.5662679 0.02472426
0.6021182 0.02401905
0.6122829 0.02329041
0.6072395 0.02305852
0.593322 0.02258515
0.5633446 0.02496007
0.4754817 0.02368078
0.5548661 0.02335724
0.6236227 0.02351566
0.6163637 0.02126152
0.6002088 0.02041001
0.588982 0.01950849
0.612643 0.01915921
0.6523066 0.01908525
0.6915358 0.01903657
0.7112956 0.01928957
0.690518 0.01958141
0.7161444 0.02064389
0.6706479 0.02134352
0.6913174 0.02272489
0.7166505 0.02226321
0.7350059 0.02308237
0.7239037 0.02397138
